Sample,Latitude,,Longitude
001,21.2675209,,94.38764954
002,22.70451,,93.428306
003,21.88640022,,94.73713684
004,"23.091879,",,95.273063
005,21.97357941,,94.72136688
006,21.96233,,94.71564
007,22.20029068,,94.87830353
008,22.61367035,,95.560112
009,21.94441032,,94.69950867
010,22.20265961,,95.82234192
011,22.99934959,,94.03572083
012,21.28775978,,94.28601074
013,22.21056938,,95.65268707
014,21.27222061,,94.54984283
015,23.8267498,,95.674263
016,21.32658958,,94.41574097
017,22.67676926,,95.38893127
018,22.71458054,,95.7640686
019,21.94339,,95.213173
020,22.73881912,,95.45571136
021,22.84992981,,94.07475281
022,22.8107891,,94.05889893
023,22.75993919,,94.12831116
024,22.76600075,,94.69380188
025,22.80927086,,95.50856781
026,22.11503029,,95.45574188
027,23.00865936,,95.36891174
028,21.7503109,,95.39466858
029,22.75320676,,95.51918268
030,21.8145504,,95.30116272
031,22.72639084,,95.29547119
032,22.86823082,,95.48937225
033,22.4208,,95.9537
,,,
,,,
